[One-body operator momentum mesh]
# operator J0 Tz0
SigmaJP 1 +1
#   Jf  gf  nf    Ji  gi  ni
   1.0   0   1   0.0   0   1
#          q [fm^-1]                    rme
      0.00000000e+00    +8.659673067519e-01
      1.00000000e-02    +8.659276175412e-01
      2.00000000e-02    +8.658085598066e-01
      3.00000000e-02    +8.656101632363e-01
      4.00000000e-02    +8.653324772974e-01
      5.00000000e-02    +8.649755712151e-01
      6.00000000e-02    +8.645395339446e-01
      7.00000000e-02    +8.640244741342e-01
      8.00000000e-02    +8.634305200813e-01
      9.00000000e-02    +8.627578196791e-01
      1.00000000e-01    +8.620065403562e-01
      1.10000000e-01    +8.611768690079e-01
      1.20000000e-01    +8.602690119195e-01
      1.30000000e-01    +8.592831946819e-01
      1.40000000e-01    +8.582196620991e-01
      1.50000000e-01    +8.570786780882e-01
      1.60000000e-01    +8.558605255713e-01
      1.70000000e-01    +8.545655063598e-01
      1.80000000e-01    +8.531939410316e-01
      1.90000000e-01    +8.517461687999e-01
      2.00000000e-01    +8.502225473752e-01
      2.10000000e-01    +8.486234528196e-01
      2.20000000e-01    +8.469492793941e-01
      2.30000000e-01    +8.452004393979e-01
      2.40000000e-01    +8.433773630019e-01
      2.50000000e-01    +8.414804980738e-01
      2.60000000e-01    +8.395103099971e-01
      2.70000000e-01    +8.374672814831e-01
      2.80000000e-01    +8.353519123758e-01
      2.90000000e-01    +8.331647194510e-01
      3.00000000e-01    +8.309062362081e-01

